2023-11-29_00-06-57: Epoch: 1 | Train loss: 0.6868786602406889 | Train acc: {'40X': 0.6983471074380165, '100X': 0.7284345047923323, '200X': 0.7549833887043189, '400X': 0.7448598130841122, 'avg_acc': 0.731656203504695, 'all': 0.7312077702702703} | Valid loss: 0.5039959907531738 | Valid acc: {'40X': 0.7652811735941321, '100X': 0.7494145199063232, '200X': 0.7947368421052632, '400X': 0.8082191780821918, 'avg_acc': 0.7794129284219776, 'all': 0.777988614800759}| Runtime: 1.3 mins
2023-11-29_00-08-12: Epoch: 2 | Train loss: 0.5772759909364017 | Train acc: {'40X': 0.7214876033057851, '100X': 0.7164536741214057, '200X': 0.7641196013289037, '400X': 0.7598130841121495, 'avg_acc': 0.740468490717061, 'all': 0.7396537162162162} | Valid loss: 0.5097277563810348 | Valid acc: {'40X': 0.7628361858190709, '100X': 0.7564402810304449, '200X': 0.7868421052631579, '400X': 0.7945205479452054, 'avg_acc': 0.7751597800144698, 'all': 0.7741935483870968}| Runtime: 1.2 mins
2023-11-29_00-09-28: Epoch: 3 | Train loss: 0.4587285601206728 | Train acc: {'40X': 0.7698019801980198, '100X': 0.7899361022364217, '200X': 0.8089700996677741, '400X': 0.8136704119850188, 'avg_acc': 0.7955946485218086, 'all': 0.7949746621621622} | Valid loss: 0.5329943445324897 | Valid acc: {'40X': 0.706601466992665, '100X': 0.747072599531616, '200X': 0.7210526315789474, '400X': 0.7506849315068493, 'avg_acc': 0.7313529074025193, 'all': 0.7311827956989247}| Runtime: 1.3 mins
2023-11-29_00-10-44: Epoch: 4 | Train loss: 0.47364826299048757 | Train acc: {'40X': 0.754950495049505, '100X': 0.7659744408945687, '200X': 0.7931893687707641, '400X': 0.7930711610486891, 'avg_acc': 0.7767963664408817, 'all': 0.7761824324324325} | Valid loss: 0.49796508610248563 | Valid acc: {'40X': 0.7579462102689487, '100X': 0.7845433255269321, '200X': 0.7973684210526316, '400X': 0.8027397260273973, 'avg_acc': 0.7856494207189774, 'all': 0.7849462365591398}| Runtime: 1.3 mins
2023-11-29_00-12-01: Epoch: 5 | Train loss: 0.4265267849975341 | Train acc: {'40X': 0.7894302229562346, '100X': 0.8033573141486811, '200X': 0.8230897009966778, '400X': 0.8168224299065421, 'avg_acc': 0.8081749170020339, 'all': 0.8078547297297297} | Valid loss: 0.5341258776187897 | Valid acc: {'40X': 0.7163814180929096, '100X': 0.7540983606557377, '200X': 0.7473684210526316, '400X': 0.7616438356164383, 'avg_acc': 0.7448730088544293, 'all': 0.7444655281467426}| Runtime: 1.3 mins
2023-11-29_00-13-17: Epoch: 6 | Train loss: 0.38207592553383596 | Train acc: {'40X': 0.8175061932287366, '100X': 0.8472, '200X': 0.8441127694859039, '400X': 0.8484565014031805, 'avg_acc': 0.8393188660294552, 'all': 0.8391047297297297} | Valid loss: 0.5241333308815956 | Valid acc: {'40X': 0.7286063569682152, '100X': 0.7634660421545667, '200X': 0.781578947368421, '400X': 0.7726027397260274, 'avg_acc': 0.7615635215543076, 'all': 0.7609108159392789}| Runtime: 1.3 mins
2023-11-29_00-14-33: Epoch: 7 | Train loss: 0.4176558397106222 | Train acc: {'40X': 0.7846534653465347, '100X': 0.7974379503602882, '200X': 0.8107883817427386, '400X': 0.8299065420560747, 'avg_acc': 0.805696584876409, 'all': 0.8048986486486487} | Valid loss: 0.5164263427257538 | Valid acc: {'40X': 0.7212713936430318, '100X': 0.7564402810304449, '200X': 0.7657894736842106, '400X': 0.7698630136986301, 'avg_acc': 0.7533410405140794, 'all': 0.7526881720430108}| Runtime: 1.3 mins
2023-11-29_00-15-50: Epoch: 8 | Train loss: 0.3603793271389362 | Train acc: {'40X': 0.8168316831683168, '100X': 0.8544, '200X': 0.84149377593361, '400X': 0.8550046772684752, 'avg_acc': 0.8419325340926005, 'all': 0.8416385135135135} | Valid loss: 0.5077878701686859 | Valid acc: {'40X': 0.7775061124694377, '100X': 0.7634660421545667, '200X': 0.8184210526315789, '400X': 0.7890410958904109, 'avg_acc': 0.7871085757864985, 'all': 0.7862112586970272}| Runtime: 1.3 mins
2023-11-29_00-17-07: Epoch: 9 | Train loss: 0.3859078130005179 | Train acc: {'40X': 0.8127062706270627, '100X': 0.8350680544435548, '200X': 0.8356846473029046, '400X': 0.8616822429906542, 'avg_acc': 0.8362853038410442, 'all': 0.8355152027027027} | Valid loss: 0.7082381284236908 | Valid acc: {'40X': 0.6943765281173594, '100X': 0.711943793911007, '200X': 0.6947368421052632, '400X': 0.7041095890410959, 'avg_acc': 0.7012916882936814, 'all': 0.7014547754585705}| Runtime: 1.3 mins
